practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes,AI_Failure_Mode,Failure_Description,Recommended_Improvement
SLOCUM ORTHOPEDICS PC,(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,974012433,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1033236880,NPI-2,2007-03-26,2008-06-09,JOHN BAUMAN,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,11:11am CST,10:06pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at SLOCUM ORTHOPEDICS PC to reach the scheduling department.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
"SLOCUM ORTHOPEDICS, PC",(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,97401,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1881694867,NPI-2,2005-07-29,2022-07-21,JOHN BAUMAN,Chief Administrator,"Family Medicine, Sports Medicine; Podiatrist; Physical Therapist, Orthopedic; Physician Assistant, Surgical; Orthopaedic Surgery",United States,Yes,03/25/2026,11:13am CST,10:07pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at SLOCUM ORTHOPEDICS, PC to reach the scheduling department.",Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
"SLOCUM ORTHOPEDICS, PC",(541) 485-8111,541-868-0883,55 COBURG RD,,EUGENE,OR,97401,Orthopaedic Surgery,207X00000X,14,"HEATHER CAMPION, M.D.; CHRISTOPHER CYCHOSZ, MD; LYLE JACKSON, M.D.; LUCAS KORCEK, M.D.; GERALD AGGREY, MD; DAVID BEAR, MD; KENNETH BUTTERS, M.D.; HEATHER CAMPION, M.D.; DENNIS COLLIS, MD; CHRISTOPHER CYCHOSZ, MD",1881694867,NPI-2,2005-07-29,2022-07-21,JOHN BAUMAN,Chief Administrator,"Family Medicine, Sports Medicine; Podiatrist; Physical Therapist, Orthopedic; Physician Assistant, Surgical; Orthopaedic Surgery",United States,Yes,03/25/2026,11:15am CST,10:08pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at SLOCUM ORTHOPEDICS, PC to reach the scheduling department.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
GEM CITY BONE & JOINT PC,(307) 745-8851,307-742-0961,1909 VISTA DR,,LARAMIE,WY,820705530,Orthopaedic Surgery,207X00000X,14,"RYAN AUKERMAN, M.D.; RYAN AUKERMAN, M.D.; THOMAS BIENZ, MD; JAY CARSON, MD; ROBERT CURNOW, MD; CHRISTINE DIPOMPEO, M.D.; MATTHEW FOURNIER, MD; ERIC HARRIS, M.D.; JOHN HORBERG, M.D; LAWRENCE JENKINS, MD",1366412397,NPI-2,2006-01-24,2021-01-21,JANA SUAZO,Director of Human Resources,"Neuromusculoskeletal Medicine, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Surgery; General Practice; Physical Therapist; Occupational Therapist; Clinic/Center, Radiology; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery",United States,Yes,03/25/2026,11:17am CST,10:09pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at GEM CITY BONE & JOINT PC to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
BROWN EMERGENCY MEDICINE,(401) 444-4000,,593 EDDY ST,CLAVERICK 2,PROVIDENCE,RI,29034923,Emergency Medicine,207P00000X,13,"DANIEL ALSOOF, MBBS; TUCKER CALLANAN, MD; RYAN FALLON, MD; AMANDA GALAMBAS, MD; JINSEONG KIM, MD; JOHN MILNER, MD; JEFFREY OKEWUNMI, MD; SYDNEY ROZENFELD, MD; KATHRYN SEGAL, MD; MICHAEL SHIPP, MD",1962455022,NPI-2,2006-05-18,2025-07-01,LINDA BROWN,Physician in Chief,"Emergency Medicine, Pediatric Emergency Medicine; Emergency Medicine, Sports Medicine; Pediatrics; Pediatrics, Pediatric Emergency Medicine; Physician Assistant; Physician Assistant, Medical; Nurse Practitioner; Nurse Practitioner, Family; Nurse Practitioner, Pediatrics; Emergency Medicine",United States,Yes,03/25/2026,11:20am CST,10:12pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at BROWN EMERGENCY MEDICINE to reach the scheduling department.,The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
"DESERT ORTHOPAEDIC CENTER, LTD.",(702) 731-1616,702-263-9088,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1598087223,NPI-2,2010-02-22,2023-12-18,MICHAEL PENDLETON,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,11:21am CST,10:14pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at DESERT ORTHOPAEDIC CENTER, LTD. to reach the scheduling department.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
DESERT ORTHOPAEDIC BILLING LLC,(702) 731-1616,702-869-3542,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1972825602,NPI-2,2010-02-22,2024-08-07,MICHAEL PENDLETON,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,11:37am CST,10:28pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at DESERT ORTHOPAEDIC BILLING LLC to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
DESERT ORTHOPAEDIC BILLING LLC,(702) 731-1616,702-869-3542,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1972825602,NPI-2,2010-02-22,2024-08-07,MICHAEL PENDLETON,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,11:39am CST,10:30pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully navigated the automated phone tree at DESERT ORTHOPAEDIC BILLING LLC to reach the scheduling department.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"DESERT ORTHOPAEDIC CENTER, LTD.",(702) 731-1616,702-263-9088,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1598087223,NPI-2,2010-02-22,2023-12-18,MICHAEL PENDLETON,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,11:40am CST,10:32pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at DESERT ORTHOPAEDIC CENTER, LTD. to reach the scheduling department.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"DESERT ORTHOPAEDIC CENTER, LTD.",(702) 731-1616,702-263-9088,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1598087223,NPI-2,2010-02-22,2023-12-18,MICHAEL PENDLETON,Administrator,Orthopaedic Surgery,United States,Yes,03/25/2026,11:42am CST,10:33pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Successfully navigated the automated phone tree at DESERT ORTHOPAEDIC CENTER, LTD. to reach the scheduling department.",Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
NY SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING,(212) 774-7598,,535 E 70TH ST,,NEW YORK,NY,100214823,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1902243488,NPI-2,2013-05-24,2022-01-20,RICHARD CROWLEY,Asst. VP of Operations,Orthopaedic Surgery,United States,Yes,03/25/2026,11:45am CST,10:35pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Logged interaction for NY SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING following the observed pattern: Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
ALEJANDRO GONZALEZ DELLA VALLE MEDICAL PLLC,(212) 774-7124,212-774-7124,535 E 70TH ST,,NEW YORK,NY,100214823,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1871204255,NPI-2,2022-12-07,2022-12-07,DANIA SANTOS,Billing Manager,Orthopaedic Surgery,United States,Yes,03/25/2026,11:55am CST,10:39pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Logged interaction for ALEJANDRO GONZALEZ DELLA VALLE MEDICAL PLLC following the observed pattern: Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.,The Infinite Loop,Selecting the scheduling option erroneously returned the caller to the main menu greeting.,Verify internal PBX routing links between the IVR software and the front desk extensions.
"BRYAN J. NESTOR, M.D., P.C.",(212) 606-1484,212-774-2236,535 E 70TH ST,,NEW YORK,NY,100214872,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1851569933,NPI-2,2008-02-12,2008-02-12,BRYAN NESTOR,owner,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,Yes,03/25/2026,12:15am CST,10:46pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Logged interaction for BRYAN J. NESTOR, M.D., P.C. following the observed pattern: Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
BRYAN T KELLY MD PLLC,(212) 746-5348,,535 E 70TH ST,,NEW YORK,NY,100214872,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1114193257,NPI-2,2008-05-07,2008-05-07,BRYAN KELLY,President,Orthopaedic Surgery,United States,Yes,03/25/2026,12:20am CST,10:48pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Logged interaction for BRYAN T KELLY MD PLLC following the observed pattern: Connected with a live staff member at New York Society For The Relief Of The Ruptured And Crippled Maintaini who successfully facilitated a patient scheduling request.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
