practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes
"FOOTHILLS ORTHOPEDIC & SPINE CENTER, P.C.",(909) 953-1117,,90 HEALTH PARK DR,,LOUISVILLE,CO,800279757,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1366514903,NPI-2,2006-11-15,2017-05-25,GORDON YEE,President,"Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
"OBSTETRIX MEDICAL GROUP OF COLORADO, P.C.",(303) 860-9933,,90 HEALTH PARK DR STE 390,,LOUISVILLE,CO,800279742,"Pediatrics, Pediatric Cardiology",2080P0202X,0,,1760006746,NPI-2,2020-06-04,2024-06-10,LINDA CHEN,Assistant Secretary,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Pediatrics; Pediatrics, Pediatric Cardiology; Pediatrics, Pediatric Gastroenterology; Surgery, Pediatric Surgery; Urology, Pediatric Urology",United States,No,,,,,,,,,
"OBSTETRIX MEDICAL GROUP OF COLORADO, P.C.",(303) 673-1000,,100 HEALTH PARK DR,,LOUISVILLE,CO,800279583,"Pediatrics, Pediatric Cardiology",2080P0202X,0,,1578187803,NPI-2,2020-06-02,2024-06-10,LINDA CHEN,Assistant Secretary,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Pediatrics; Pediatrics, Pediatric Cardiology; Pediatrics, Pediatric Gastroenterology; Surgery, Pediatric Surgery; Urology, Pediatric Urology",United States,No,,,,,,,,,
COLORADO ORTHOPEDIC AND HAND SURGERY,(970) 776-3222,,3830 GRANT AVE,,LOVELAND,CO,805388412,Orthopaedic Surgery,207X00000X,0,,1669790515,NPI-2,2010-05-16,2010-05-16,ERIC YOUNG,Owner,Orthopaedic Surgery,United States,No,,,,,,,,,
ROCKY MOUNTAIN ORTHOPEDIC SPECIALISTS,(888) 876-2663,,5285 MCWHINNEY BLVD STE 140,,LOVELAND,CO,805388707,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1699070193,NPI-2,2011-01-14,2011-01-14,W. CARLTON RECKLING,OWNER,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(303) 366-5656,,8101 E LOWRY BLVD STE 100,,LOWRY,CO,802307195,Orthopaedic Surgery,207X00000X,0,,1285249680,NPI-2,2020-09-11,2020-09-11,WILLIAM SMITHAM,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT,(970) 878-5047,970-878-3285,100 PIONEERS MEDICAL CENTER DR,,MEEKER,CO,81641,"General Acute Care Hospital, Critical Access",282NC0060X,0,,1801874771,NPI-2,2006-01-02,2023-12-18,ELIZABETH SELLERS,CEO,"Orthopaedic Surgery; General Acute Care Hospital, Rural; General Acute Care Hospital, Critical Access",United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(970) 764-9265,970-764-9279,314 SOUTH 6TH STREET,,MONTROSE,CO,814015719,"Radiology, Diagnostic Radiology",2085R0202X,0,,1255813671,NPI-2,2018-09-01,2018-09-01,GLENN PESHEK,Associate Administrator OMA,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Radiology, Diagnostic Radiology",United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(970) 382-9500,970-375-0007,314 S 6TH ST,,MONTROSE,CO,814015719,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1497499560,NPI-2,2022-04-25,2024-07-17,ANGELA SKINNER,Administrator OMA,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
FRASER PROFESSIONAL MEDICAL GROUP LLC,(719) 633-5255,719-488-6753,77 3RD ST,,MONUMENT,CO,801328179,Family Medicine,207Q00000X,0,,1194313346,NPI-2,2021-01-04,2024-02-05,AARON FRASER,Medical Director,"Family Medicine, Sports Medicine; Psychiatry & Neurology, Psychiatry; Family Medicine",United States,No,,,,,,,,,
STEAMBOAT ORTHOPAEDIC AND SPINE INSTITUTE MONUMENT LLC,(719) 301-3010,970-871-1234,17230 JACKSON CREEK PKWY STE 260,,MONUMENT,CO,801327305,Orthopaedic Surgery,207X00000X,0,,1831800374,NPI-2,2022-12-06,2024-04-01,EMMA RUSH,Administrator,"Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
THOMAS P MOORE MD PHD PC,(970) 349-2677,,32 CRESTED MT. WAY,,MT. CRESTED BUTTE,CO,81225,Orthopaedic Surgery,207X00000X,0,,1326276783,NPI-2,2009-06-24,2024-02-07,THOMAS MOORE,Physician,"Orthopaedic Surgery, Sports Medicine; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery",United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(303) 649-3790,303-649-3791,11960 LIONESS WAY STE 190,,PARKER,CO,801345640,Orthopaedic Surgery,207X00000X,0,,1538984596,NPI-2,2024-11-15,2024-11-15,ANGELA SKINNER,Administrator,"Orthopaedic Surgery; Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
"HEALTHONE CARENOW URGENT CARE, LLC",(303) 583-4730,,17805 COTTONWOOD DR UNIT 101,,PARKER,CO,801343952,"Family Medicine, Sports Medicine",207QS0010X,0,,1053128694,NPI-2,2024-12-17,2024-12-17,TIMOTHY MILLER,Vice President,"Family Medicine, Sports Medicine",United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(720) 542-6700,,11960 LIONESS WAY STE 120,,PARKER,CO,801345640,Orthopaedic Surgery,207X00000X,0,,1437755691,NPI-2,2020-12-11,2020-12-11,WILLIAM SMITHAM,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES-SURGICAL SPECIALTIES LLC,(720) 542-6700,,11960 LIONESS WAY STE 120,,PARKER,CO,801345640,Orthopaedic Surgery,207X00000X,0,,1629857206,NPI-2,2023-09-25,2023-09-25,NICHOLAS WADLINGTON,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
ROCKY MOUNTAIN SPORTS MEDICINE INC.,(720) 851-5420,720-851-5801,12760 STROH RANCH WAY STE 202,,PARKER,CO,801347507,"Family Medicine, Sports Medicine",207QS0010X,0,,1588210934,NPI-2,2019-08-12,2019-10-16,KATHRYN VIDLOCK GRANLEY,owner/physician,"Family Medicine, Sports Medicine",United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(719) 562-6254,719-562-6255,4112 OUTLOOK BLVD,SUITE 37,PUEBLO,CO,810081667,Orthopaedic Surgery,207X00000X,0,,1740208909,NPI-2,2006-07-17,2024-06-25,ANGELA SKINNER,Administrator OMA,Orthopaedic Surgery,United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(719) 557-8600,719-557-8615,1315 FORTINO BLVD,,PUEBLO,CO,810081981,"Family Medicine, Sports Medicine",207QS0010X,0,,1205112596,NPI-2,2011-10-31,2016-04-22,ANGELA SKINNER,OMA Administrator,"Family Medicine, Sports Medicine",United States,No,,,,,,,,,
"PREMIER BACK REHABILITATION CENTER, PC",(719) 544-1161,719-544-1128,1515 FORTINO BLVD STE 150,STE 150,PUEBLO,CO,810081976,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1598829327,NPI-2,2006-12-19,2008-04-30,JERE SUTTON,CEO Owner,"Orthopaedic Surgery, Orthopaedic Trauma",United States,No,,,,,,,,,
PUEBLO SPORTS AND FAMILY MEDICINE PLLC,(719) 544-2740,,1315 FORTINO BLVD STE C,,PUEBLO,CO,810081981,"Family Medicine, Sports Medicine",207QS0010X,0,,1225525132,NPI-2,2018-04-16,2018-04-22,RAKESH KHOSLA,President,"Family Medicine, Sports Medicine",United States,No,,,,,,,,,
HANSON CLINIC PC,(719) 766-9000,,109 S BURLINGTON DR,,PUEBLO WEST,CO,810075560,Orthopaedic Surgery,207X00000X,0,,1396188322,NPI-2,2013-04-09,2013-04-09,CHARLES HANSON,Owner,Orthopaedic Surgery,United States,No,,,,,,,,,
"THOMAS P. MOORE, M.D., PH.D., PC",(970) 927-3344,970-927-9555,2001 N HORSESHOE TRL,,SILT,CO,816529832,Orthopaedic Surgery,207X00000X,0,,1982835203,NPI-2,2009-08-04,2024-02-07,THOMAS MOORE,Physician,"Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
ORTHOPAEDICS OF STEAMBOAT SPRINGS PC,(314) 808-3227,,705 MARKETPLACE PLZ STE 200,,STEAMBOAT SPRINGS,CO,804871841,Durable Medical Equipment & Medical Supplies,332B00000X,0,,1275349086,NPI-2,2024-12-06,2024-12-06,ELLEN HUMPHRIES,Credentialing,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Durable Medical Equipment & Medical Supplies",United States,No,,,,,,,,,
STEAMBOAT SPINE AND SPORTS INC.,(970) 879-7031,970-879-4928,1560 PINE GROVE RD STE B,,STEAMBOAT SPRINGS,CO,80487,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1760543490,NPI-2,2006-12-13,2019-02-18,FINN GERSTELL,President,"Physical Medicine & Rehabilitation, Sports Medicine",United States,No,,,,,,,,,
CENTURA SUMMIT ORTHOPEDICS LLC,(970) 262-7400,970-262-7401,68 SCHOOL RD,STE 100,SUMMIT,CO,80443,Orthopaedic Surgery,207X00000X,0,,1942947916,NPI-2,2022-05-19,2023-05-08,ANGELA SKINNER,"Administrator, OMA",Orthopaedic Surgery,United States,No,,,,,,,,,
CENTER FOR SPINE AND ORTHOPEDICS PC,(303) 287-2800,303-287-7357,9005 GRANT ST,#200,THORNTON,CO,80229,Orthopaedic Surgery,207X00000X,0,,1245215862,NPI-2,2005-12-07,2026-03-19,DEBBIE LUCERO,Physician Liaison,"Physical Medicine & Rehabilitation, Pain Medicine; Orthopaedic Surgery",United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(720) 917-7050,,9141 GRANT ST STE 120,,THORNTON,CO,802294318,Orthopaedic Surgery,207X00000X,0,,1659145498,NPI-2,2023-11-13,2023-11-13,NICHOLAS WADLINGTON,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(303) 451-7800,,9191 GRANT ST,,THORNTON,CO,802294361,Orthopaedic Surgery,207X00000X,0,,1730794835,NPI-2,2020-09-15,2020-09-15,WILLIAM SMITHAM,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
ORTHOPEDIC SURGERY & SPORTS MEDICINE SPECIALIST,(303) 450-6800,303-450-7153,9141 GRANT ST STE 10,,THORNTON,CO,802294374,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1689889966,NPI-2,2007-05-11,2008-04-15,TERRY WINTORY,OWNER,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(303) 430-6410,303-430-6420,8510 BRYANT ST.,SUITE 320,WESTMINSTER,CO,80031,Orthopaedic Surgery,207X00000X,0,,1689952947,NPI-2,2011-08-03,2012-10-11,DAVID WATSON,C.M.O.,Orthopaedic Surgery,United States,No,,,,,,,,,
CATHOLIC HEALTH INITIATIVES COLORADO,(720) 627-4980,720-627-9324,500 W 144TH AVE STE 120,,WESTMINSTER,CO,800239326,Orthopaedic Surgery,207X00000X,0,,1891421798,NPI-2,2022-07-25,2024-06-25,ANGELA SKINNER,"Administrator, OMA",Orthopaedic Surgery,United States,No,,,,,,,,,
FORGE TRAUMA AND ORTHOPEDICS PLLC,(303) 522-7801,,14335 PECOS ST,,WESTMINSTER,CO,800238446,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1669049474,NPI-2,2021-06-09,2021-06-09,DARRYL AUSTON,Chief Executive Officer,"Orthopaedic Surgery, Orthopaedic Trauma",United States,No,,,,,,,,,
H MICHAEL TRAMUTT MD PC,(303) 430-8367,303-430-4058,7919 ZENOBIA STREET,,WESTMINSTER,CO,80030,Orthopaedic Surgery,207X00000X,0,,1750334330,NPI-2,2006-05-18,2008-04-18,H TRAMUTT,Othorpedic Surgeon,Orthopaedic Surgery,United States,No,,,,,,,,,
H.R. PAIN MANAGEMENT INC.,(303) 494-7052,303-635-1225,7695 CHURCH RANCH BLVD,SUITE 100,WESTMINSTER,CO,800215544,Physical Medicine & Rehabilitation,208100000X,0,,1306995196,NPI-2,2007-01-09,2021-03-16,SHANE KOKOSZKA,President,"Neuromusculoskeletal Medicine, Sports Medicine; Neuromusculoskeletal Medicine & OMM; Physical Medicine & Rehabilitation, Pain Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Preventive Medicine, Sports Medicine; Preventive Medicine, Occupational Medicine; Pain Medicine, Interventional Pain Medicine; Physical Medicine & Rehabilitation",United States,No,,,,,,,,,
JOSEPH MORREALE MD,(720) 776-9165,720-915-2817,8753 YATES DR STE 110,,WESTMINSTER,CO,800316947,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1972119220,NPI-2,2020-09-22,2025-10-22,JOSEPH MORREALE,Physician,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
DHP OF COLORADO PC,(303) 425-4500,,8300 W 38TH AVE,,WHEAT RIDGE,CO,800336005,Orthopaedic Surgery,207X00000X,0,,1700149044,NPI-2,2012-06-21,2012-07-19,ELLIOTT WOHLNER,President,Orthopaedic Surgery,United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(303) 425-4500,,8300 W 38TH AVE,,WHEAT RIDGE,CO,800336005,Orthopaedic Surgery,207X00000X,0,,1275125932,NPI-2,2021-02-04,2021-02-04,WILLIAM SMITHAM,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
"INTERMOUNTAIN MEDICAL GROUP DENVER, LLC",(303) 265-5770,,"12905 W 40TH AVE, STE 430",,WHEAT RIDGE,CO,80401,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,0,,1215774542,NPI-2,2024-07-12,2024-07-12,JON MCDANIEL,VP Finance,"Orthopaedic Surgery, Orthopaedic Trauma; Podiatrist, Primary Podiatric Medicine",United States,No,,,,,,,,,
"INTERMOUNTAIN MEDICAL GROUP DENVER, LLC",(303) 467-4100,303-403-6901,8550 W 38TH AVE STE 100,,WHEAT RIDGE,CO,800334341,Physical Medicine & Rehabilitation,208100000X,0,,1528649597,NPI-2,2021-04-20,2024-06-28,JON MCDANIEL,VP of Fiance,"Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Preventive Medicine, Occupational Medicine",United States,No,,,,,,,,,
ORTHOPEDIC CENTERS OF COLORADO,(303) 456-6000,303-420-2279,3455 LUTHERAN PARKWAY,SUITE 105,WHEAT RIDGE,CO,80033,Orthopaedic Surgery,207X00000X,0,,1578083903,NPI-2,2017-06-27,2021-06-07,DAVIS HURLEY,President,"Nurse Practitioner; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Therapist; Occupational Therapist; Durable Medical Equipment & Medical Supplies; Physician Assistant; Orthopaedic Surgery",United States,No,,,,,,,,,
HEALTHONE CLINIC SERVICES - ORTHOPEDIC SPECIALISTS LLC,(790) 332-4811,,1017 W 7TH ST,,WRAY,CO,807581420,Orthopaedic Surgery,207X00000X,0,,1336969526,NPI-2,2024-10-14,2024-10-14,NICHOLAS WADLINGTON,Vice President,Orthopaedic Surgery,United States,No,,,,,,,,,
"FARMINGTON VALLEY ORTHOPEDIC ASSOCIATES, P.C.",(860) 677-0079,860-677-4785,34 DALE RD,,AVON,CT,6001,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1154516748,NPI-2,2007-09-07,2018-08-01,STEVEN BOND,President,"Orthopaedic Surgery, Sports Medicine",United States,No,,,,,,,,,
"ORTHOPEDIC SURGICAL PARTNERS, P.C",(860) 751-6039,860-409-0714,31 ENSIGN DR,,AVON,CT,60013773,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1487964599,NPI-2,2010-10-08,2024-07-09,ROBERT MCALLISTER,President,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,No,,,,,,,,,
VALLEY SPORTS PHYSICIANS & ORTHOPEDIC MEDICINE,(860) 675-0357,860-675-0358,54 W AVON RD,SUITE 202,AVON,CT,60013680,"Neuromusculoskeletal Medicine, Sports Medicine",204C00000X,0,,1871799635,NPI-2,2007-06-26,2007-10-24,NICHOLE WEDDERBURN,Office / Billing Manager,"Neuromusculoskeletal Medicine, Sports Medicine; Family Medicine, Sports Medicine; Family Medicine, Sports Medicine; Neuromusculoskeletal Medicine, Sports Medicine",United States,No,,,,,,,,,
"ORTHO NEW ENGLAND, LLC",(860) 361-6650,860-361-6654,622 BANTAM RD,,BANTAM,CT,67501600,Orthopaedic Surgery,207X00000X,0,,1598268138,NPI-2,2018-03-09,2019-02-28,MITCHELL GARDEN,Principal Physician,Orthopaedic Surgery,United States,No,,,,,,,,,
AFFILIATED PODIATRISTS LLC,(203) 942-9141,,2A TOPSTONE DR,,BETHEL,CT,68012624,Podiatrist,213E00000X,0,,1710988985,NPI-2,2005-08-09,2008-06-11,SAMIR ZAKY,Owner/President,"Podiatrist, Primary Podiatric Medicine; Podiatrist, Public Medicine; Podiatrist, Radiology; Podiatrist, Sports Medicine; Durable Medical Equipment & Medical Supplies; Podiatrist",United States,No,,,,,,,,,
ADVANCED ORTHOPEDICS NEW ENGLAND,(860) 242-3000,860-286-9547,35 JOLLEY DR STE 301,,BLOOMFIELD,CT,60024228,Orthopaedic Surgery,207X00000X,0,,1215086459,NPI-2,2007-01-09,2020-04-13,DAVID KRUGER,MD,Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Orthopaedic Surgery,United States,No,,,,,,,,,
CT ORTHOPEDICS & SPORTS MEDICINE PC,(860) 242-0100,860-242-3039,47 JOLLEY DRIVE,,BLOOMFIELD,CT,6002,Orthopaedic Surgery,207X00000X,0,,1457403537,NPI-2,2007-01-17,2013-10-01,THOMAS STEVENS,President,Orthopaedic Surgery,United States,No,,,,,,,,,
EASTERN SPORTS MEDICINE AND SPINE ASSOCIATES LLC,(860) 648-0814,,701 COTTAGE GROVE ROAD,E230,BLOOMFIELD,CT,6002,Orthopaedic Surgery,207X00000X,0,,1003224569,NPI-2,2014-07-29,2015-05-04,CHERYL FLANAGAN,credentialer,Orthopaedic Surgery,United States,No,,,,,,,,,
"HARTFORD ORTHOPAEDIC PLASTIC & HAND SURGEONS, INC",(860) 527-7161,,510 COTTAGE GROVE RD LOWR LEVEL,,BLOOMFIELD,CT,60023165,Durable Medical Equipment & Medical Supplies,332B00000X,0,,1740931823,NPI-2,2022-01-11,2025-06-09,RACHEL PERRY,Program Manager,"Orthopaedic Surgery, Hand Surgery; Durable Medical Equipment & Medical Supplies",United States,No,,,,,,,,,
MDLIVE MEDICAL GROUP DE PA,(800) 400-6354,,900 COTTAGE GROVE RD,,BLOOMFIELD,CT,60022920,Family Medicine,207Q00000X,0,,1992178115,NPI-2,2015-11-10,2026-02-25,SUE-ANN ADRIANS,Government Programs PM,"Pediatrics; Internal Medicine, Sports Medicine; Internal Medicine; Counselor; Social Worker; Emergency Medicine; Dermatology; Family Medicine",United States,No,,,,,,,,,
"CENTER FOR ORTHOPAEDICS, PC",(203) 752-3100,203-752-9291,1224 MAIN ST,,BRANFORD,CT,64053778,Orthopaedic Surgery,207X00000X,0,,1649574880,NPI-2,2011-01-03,2013-09-09,MELISSA CAPONE,Credentialing/HR,"Family Medicine, Sports Medicine; Podiatrist; Physician Assistant; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery",United States,No,,,,,,,,,
CONNECTICUT ORTHOPAEDIC SPECIALISTS OUTPATIENT SURGICAL CENTER LLC,(203) 483-2024,203-483-2520,84 N MAIN ST BLDG 2,,BRANFORD,CT,64053061,"Clinic/Center, Ambulatory Surgical",261QA1903X,0,,1811318785,NPI-2,2013-12-19,2024-12-03,SUSAN BADER,CEO,"Anesthesiology, Pain Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Physical Medicine & Rehabilitation, Pain Medicine; Podiatrist; Podiatrist, Foot & Ankle Surgery; Clinic/Center, Ambulatory Surgical; Durable Medical Equipment & Medical Supplies",United States,No,,,,,,,,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",(203) 752-3100,203-752-9291,1224 MAIN ST,,BRANFORD,CT,64053778,Orthopaedic Surgery,207X00000X,0,,1003290925,NPI-2,2015-07-10,2022-04-20,SUSAN BADER,CEO,"Internal Medicine, Sports Medicine; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery",United States,No,,,,,,,,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",(203) 483-2518,203-483-2522,84 N MAIN ST BLDG MRI,,BRANFORD,CT,64053061,"Clinic/Center, Magnetic Resonance Imaging (MRI)",261QM1200X,0,,1932324993,NPI-2,2007-04-16,2024-07-30,SUSAN BADER,CEO,"Family Medicine, Sports Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Podiatrist; Podiatrist, Foot & Ankle Surgery; Clinic/Center, Magnetic Resonance Imaging (MRI); Clinic/Center, Multi-Specialty",United States,No,,,,,,,,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",(203) 483-2024,203-483-2520,84 N MAIN ST BLDG 2,,BRANFORD,CT,64053061,"Clinic/Center, Ambulatory Surgical",261QA1903X,0,,1609167261,NPI-2,2011-04-29,2024-05-29,SUSAN BADER,CEO,"Anesthesiology, Pain Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation; Podiatrist, Foot & Ankle Surgery; Clinic/Center, Ambulatory Surgical; Durable Medical Equipment & Medical Supplies; Physician Assistant, Surgical",United States,No,,,,,,,,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",(203) 865-6784,203-865-6788,469 W MAIN ST,,BRANFORD,CT,64053400,Orthopaedic Surgery,207X00000X,0,,1851704340,NPI-2,2014-06-03,2024-05-16,SUSAN BADER,CEO,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Physical Therapist, Orthopedic; Occupational Therapist; Durable Medical Equipment & Medical Supplies; Physician Assistant; Physician Assistant, Medical; Physician Assistant, Surgical",United States,No,,,,,,,,,
CORE PHYSICAL THERAPY & SPORTS MEDICINE PC,(203) 373-1593,203-549-0899,3180 MAIN ST,"STE 303, 304",BRIDGEPORT,CT,66064237,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1609014893,NPI-2,2009-01-27,2025-11-13,DAVID TUNG,President,"Physical Therapist; Physical Medicine & Rehabilitation, Sports Medicine",United States,No,,,,,,,,,
DR ERIC KATZ PC,(203) 371-4424,203-371-4828,3180 MAIN ST,SUITE 107,BRIDGEPORT,CT,66064237,Orthopaedic Surgery,207X00000X,0,,1295911022,NPI-2,2008-01-10,2008-04-09,ERIC KATZ,Orthopedic Surgeon,Orthopaedic Surgery,United States,No,,,,,,,,,
FAIRFIELD SPORTS AND SPINE LLC,(203) 372-0649,,650 CLINTON AVE,SECOND FLOOR,BRIDGEPORT,CT,66051704,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1255660817,NPI-2,2009-12-10,2013-03-27,SEAN KELLY,Owner,"Physical Medicine & Rehabilitation, Sports Medicine",United States,No,,,,,,,,,
ORTHOPAEDIC SURGERY ASSOCIATES,(203) 336-3526,,650 CLINTON AVE,,BRIDGEPORT,CT,6605,Orthopaedic Surgery,207X00000X,0,,1780003988,NPI-2,2014-04-15,2014-04-15,ALLEN SCHLEIN,President,Orthopaedic Surgery,United States,No,,,,,,,,,
THOMAS A RAGO,(203) 374-5892,203-374-5822,3101 MAIN STREET,,BRIDGEPORT,CT,6606,"Orthopaedic Surgery, Hand Surgery",207XS0106X,0,,1871767996,NPI-2,2008-04-18,2015-11-04,THOMAS RAGO,MD,"Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery, Hand Surgery",United States,No,,,,,,,,,
CHANG SONG CHOI MD PC,(860) 589-6919,860-582-2890,46 GOODWIN ST,,BRISTOL,CT,6010,Orthopaedic Surgery,207X00000X,0,,1992983076,NPI-2,2008-01-31,2008-01-31,CHANG CHOI,MD Owner,Orthopaedic Surgery,United States,No,,,,,,,,,
CONNECTICUT ADVANCED SPINE LLC,(475) 337-7463,833-449-3338,169 MIDDLE ST,,BRISTOL,CT,60107404,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1912602475,NPI-2,2023-04-04,2023-09-27,ASHISH UPADHYAY,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States,No,,,,,,,,,
"CONNECTICUT ORTHOPAEDIC CARE, LLC",(860) 585-3681,,25 NEWELL RD,,BRISTOL,CT,60105100,Orthopaedic Surgery,207X00000X,0,,1114091634,NPI-2,2006-11-17,2020-08-22,VIPUL DUA,Owner,Orthopaedic Surgery,United States,No,,,,,,,,,
