practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country
"BAYSIDE PHYSICAL THERAPY, CHIROPRACTIC & ACUPUNCTURE PLLC",(800) 750-8616,,21315 33RD RD,,BAYSIDE,NY,113611508,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1407185341,NPI-2,2009-12-23,2014-09-23,LAWRENCE LEFCORT,OWNER,"Physical Medicine & Rehabilitation, Sports Medicine",United States
EMPIRE NY ORTHOPEDICS PC,(718) 989-8515,718-626-0102,22215 NORTHERN BLVD STE LOBBYA,,BAYSIDE,NY,113613678,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1891258349,NPI-2,2019-04-11,2019-04-11,NEOFITOS STEFANIDES,Doctor,"Orthopaedic Surgery, Sports Medicine",United States
"NEOFITOS STEFANIDES M.D., P.C.",(718) 989-8515,718-989-6825,4401 FRANCIS LEWIS BLVD,SUITE L3B,BAYSIDE,NY,113613002,Orthopaedic Surgery,207X00000X,0,,1598917825,NPI-2,2008-10-17,2009-04-06,NEOFITOS STEFANIDES,Director,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery",United States
BENZION BENATAR MD PC,(516) 785-5350,516-785-4530,2631 MERRICK ROAD,SUITE 303,BELLMORE,NY,117105784,"Anesthesiology, Pain Medicine",207LP2900X,0,,1568545952,NPI-2,2006-10-23,2025-09-11,BENZION BENATAR,Owner Physician,"Orthopaedic Surgery; Orthopaedic Surgery; Anesthesiology, Pain Medicine",United States
"ISLAND SOUTH PHYSICAL MEDICINE & REHAB, PC",(516) 221-9640,516-221-6810,2570 MERRICK RD,,BELLMORE,NY,117105709,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1851438758,NPI-2,2007-01-31,2020-08-22,JOSPEH GREGORACE,Medical Director,"Physical Medicine & Rehabilitation, Sports Medicine",United States
"COMPREHENSIVE SPINE CARE AND ORTHOPEDIC SURGERY, PLLC",(607) 773-2225,607-754-1477,65 PENNSYLVANIA AVE,,BINGHAMTON,NY,139031608,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1386830420,NPI-2,2007-09-22,2007-12-28,ERIC SEYBOLD,Owner,"Chiropractor; Pain Medicine, Interventional Pain Medicine; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
TRUE NORTH MEDICAL GROUP PC,(631) 289-0338,631-289-0930,3480 VETERANS MEMORIAL HWY,,BOHEMIA,NY,117161068,Orthopaedic Surgery,207X00000X,0,,1205336450,NPI-2,2018-02-14,2022-12-06,MICHELE CUSACK,Senior Vice President & CFO,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation; Radiology, Diagnostic Radiology; Physical Therapist; Occupational Therapist; Physician Assistant; Orthopaedic Surgery",United States
MOUNT KISCO MEDICAL GROUP PC,(845) 278-7000,914-242-1516,185 ROUTE 312,SOUTHEAST EXECUTIVE PARK MOUNT KISCO MEDICAL GROUP PC,BREWSTER,NY,105092338,"Internal Medicine, Hematology & Oncology",207RH0003X,0,,1982641619,NPI-2,2006-06-01,2025-09-11,ABE LEVY,Medical Director,"Allergy & Immunology, Allergy; Dermatology; Internal Medicine, Cardiovascular Disease; Internal Medicine, Endocrinology, Diabetes & Metabolism; Internal Medicine, Gastroenterology; Internal Medicine, Hematology; Obstetrics & Gynecology, Gynecology; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Radiology, Diagnostic Radiology; Surgery; Colon & Rectal Surgery; Audiologist; Advanced Practice Midwife; Internal Medicine, Hematology & Oncology",United States
ALBERT GRAZIOSA MD PC,(718) 931-0050,718-931-7019,3611 E TREMONT AVE,,BRONX,NY,10465,Orthopaedic Surgery,207X00000X,0,,1679611545,NPI-2,2007-02-02,2013-09-13,ALBERT GRAZIOSA,Orthopedic Surgeon,Orthopaedic Surgery,United States
BIMC FACULTY PRACTICE,(718) 655-2400,,3555 BAINBRIDGE AVE,,BRONX,NY,104671411,Orthopaedic Surgery,207X00000X,0,,1356650071,NPI-2,2010-09-29,2010-09-29,DEBORAH HACKETT,VP,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery",United States
"BORO MEDICAL, P.C.",(718) 829-6436,718-829-6445,71 METROPOLITAN OVAL,,BRONX,NY,104626402,"Physician Assistant, Surgical",363AS0400X,0,,1528086584,NPI-2,2006-07-18,2025-09-11,ROBERT AQUINO,President,"Allergy & Immunology; Family Medicine; Internal Medicine; Internal Medicine, Cardiovascular Disease; Internal Medicine, Gastroenterology; Obstetrics & Gynecology, Gynecology; Ophthalmology; Orthopaedic Surgery; Otolaryngology; Surgery; Urology; Podiatrist; Physician Assistant; Physician Assistant, Surgical",United States
BRONX BOROUGH MEDICAL PRACTICE PC,(914) 395-3691,,2494 WILLIAMSBRIDGE RD,,BRONX,NY,104694806,"Physical Medicine & Rehabilitation, Pain Medicine",2081P2900X,0,,1124590641,NPI-2,2018-12-21,2018-12-21,MACK SULLIVAN,Owner,"Internal Medicine, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine",United States
BRONXCARE HEALTH SYSTEM,(718) 901-8918,,1650 GRAND CONCOURSE,,BRONX,NY,10457,Orthopaedic Surgery,207X00000X,5,"KARTHIKEYAN CHINNAKKANNU, MD; KARTHIKEYAN CHINNAKKANNU, MD; DEBORAH ALLEN, M.D.; JOSHUA AUERBACH, MD; SEPIDEH BAGHIAN, M.D.",1700121928,NPI-2,2012-11-28,2018-05-30,VICTOR DEMARCO,CFO,Orthopaedic Surgery,United States
"CENTER FOR ORTHOPAEDIC SURGERY, LLP",(718) 409-9494,718-824-8026,3612 E TREMONT AVE,,BRONX,NY,104652039,Orthopaedic Surgery,207X00000X,0,,1740319607,NPI-2,2007-03-05,2009-04-23,EIAL FAIERMAN,OWNER,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",United States
CITIMED 360 PC,(718) 466-4600,,1963 GRAND CONCOURSE FL 2,,BRONX,NY,104534995,Internal Medicine,207R00000X,0,,1386476281,NPI-2,2024-08-19,2024-08-19,TATYANA RABINOVICH,Administrator,"Chiropractor; Internal Medicine; Orthopaedic Surgery; Physical Medicine & Rehabilitation; Radiology, Diagnostic Radiology; Podiatrist; Physical Therapist",United States
CMORS GROUP LLC,(718) 367-8800,718-367-4047,3235 GRAND CONCOURSE,SUITE-BASEMENT,BRONX,NY,104681138,"Family Medicine, Sports Medicine",207QS0010X,0,,1124081815,NPI-2,2006-04-11,2020-08-22,SYLVIA LINSALATO,CREDENTIALING MANAGER,"Family Medicine, Sports Medicine",United States
DANIEL SHEIN MD PLLC,(914) 376-6100,914-470-5056,1250 WATERS PL,,BRONX,NY,104612720,Orthopaedic Surgery,207X00000X,0,,1376006510,NPI-2,2019-04-12,2019-04-12,MELISSA NIELI,Credentialing Specailist,Orthopaedic Surgery,United States
"DOCTORS MEDICAL GROUP, P.C.",(718) 364-0100,718-295-9220,392 BEDFORD PARK BLVD,,BRONX,NY,104582415,Family Medicine,207Q00000X,0,,1114179306,NPI-2,2008-10-21,2008-10-21,ROBERT AQUINO,Owner,"Chiropractor; Allergy & Immunology; Dermatology; Internal Medicine; Internal Medicine, Cardiovascular Disease; Internal Medicine, Gastroenterology; Obstetrics & Gynecology, Gynecology; Ophthalmology; Orthopaedic Surgery; Physical Medicine & Rehabilitation; Surgery; Podiatrist; Physical Therapist; Physician Assistant, Surgical; Family Medicine",United States
"DYNAMIC ORTHOPEDICS OF NEW YORK, PLLC",(954) 688-6884,954-656-5206,1250 WATERS PL STE 903,,BRONX,NY,104612733,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1306539077,NPI-2,2023-05-30,2023-05-30,SAMUEL HESS,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
FORDAM UNIVERSITY,(972) 367-4845,,441 E FORDHAM RD,,BRONX,NY,104585149,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1225532609,NPI-2,2018-03-21,2021-12-17,MOUZON BASS,Administrator,"Orthopaedic Surgery, Sports Medicine",United States
HESS ORTHOPEDICS PLLC,(954) 688-6884,954-656-5206,1250 WATERS PL STE 903,,BRONX,NY,104612733,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1801589296,NPI-2,2023-05-31,2025-03-05,SAMUEL HESS,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
INTERNATIONAL SURGICAL ASSOCIATES,(718) 518-9304,,3250 WESTCHESTER AVE,,BRONX,NY,104614500,"Orthopaedic Surgery, Hand Surgery",207XS0106X,0,,1699813642,NPI-2,2007-02-02,2019-04-02,KATHY BAEZ,coo,"Orthopaedic Surgery, Hand Surgery",United States
MILLENNIUM REHABILITATION PHYSICAL THERAPY PLLC,(718) 432-1323,,531 W 235TH ST,,BRONX,NY,104631795,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1043884687,NPI-2,2021-05-18,2023-11-06,ALEXANDER SHERMAN,Owner,"Acupuncturist; Massage Therapist; Physical Medicine & Rehabilitation, Sports Medicine",United States
"SHEIN ORTHOPAEDICS, PLLC",(347) 843-8657,347-843-7841,1250 WATERS PL,SUITE 903,BRONX,NY,104612720,Orthopaedic Surgery,207X00000X,0,,1427424589,NPI-2,2015-08-12,2015-08-12,DAVID SHEIN,OWNER,"Specialist; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Physician Assistant; Physician Assistant, Medical; Physician Assistant, Surgical; Orthopaedic Surgery",United States
"BRAULIO FLORES, MD, PLLC",(914) 202-7740,914-346-8266,1 STONE PL,SUITE 302,BRONXVILLE,NY,107083426,Internal Medicine,207R00000X,0,,1396945051,NPI-2,2007-07-20,2009-03-12,BRAULIO FLORES,Physician,"Internal Medicine, Adolescent Medicine; Internal Medicine, Sports Medicine; Pediatrics; Pediatrics, Adolescent Medicine; Pediatrics, Sports Medicine; Internal Medicine",United States
CONCORDIA COLLEGE,(972) 367-4845,,171 WHITE PLAINS RD,,BRONXVILLE,NY,107081923,Orthopaedic Surgery,207X00000X,0,,1497235287,NPI-2,2018-08-21,2018-08-21,MOUZON BASS,Administrator,Orthopaedic Surgery,United States
"ADVANCE ORTHOPEDIC AND SPINE CARE, PLLC",(718) 891-7100,718-891-3834,3059 BRIGHTON 13TH ST,,BROOKLYN,NY,112355607,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1508895657,NPI-2,2006-07-01,2013-11-25,KAREN AVANESOV,Owner,"Neuromusculoskeletal Medicine & OMM; Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
ADVANCED SHOULDER KNEE ORTHOPEDICS P C,(914) 305-4633,,476 BAY RIDGE PKWY,,BROOKLYN,NY,112092702,Orthopaedic Surgery,207X00000X,1,"HOWARD BAUM, M.D.",1841516127,NPI-2,2010-04-13,2010-04-13,DANIEL YOO,owner,Orthopaedic Surgery,United States
ALAN J DAYAN M D P C,(718) 232-6348,,1715 AVENUE T,,BROOKLYN,NY,112293429,Orthopaedic Surgery,207X00000X,0,,1245276229,NPI-2,2006-06-20,2013-02-20,ALAN DAYAN,MD,Orthopaedic Surgery,United States
"ALAN J. ROSEN, DPM, PC",(718) 444-3338,718-444-4420,5402 FLATLANDS AVE,,BROOKLYN,NY,112342434,"Podiatrist, Sports Medicine",213ES0000X,0,,1245568658,NPI-2,2009-11-23,2009-11-23,ALAN ROSEN,President,"Podiatrist, Sports Medicine",United States
ALEX CARRER LLC,(917) 562-4204,,1118 AVENUE Y,,BROOKLYN,NY,112355010,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1003671587,NPI-2,2024-02-14,2024-02-14,ALEXANDRA CAEERE,CEO,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"ALEXIOS APAZIDIS, M.D., PC",(718) 908-8884,888-461-3253,3820 NOSTRAND AVE STE 102,,BROOKLYN,NY,112352046,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1245607126,NPI-2,2015-08-27,2025-03-27,ALEXIOS APAZIDIS,Owner,"Anesthesiology; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
ATLANTIC W MEDICAL CARE PINES PLLC,(718) 332-4747,,3423 GUIDER AVE,,BROOKLYN,NY,112355271,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1003517509,NPI-2,2023-03-13,2023-03-13,MATTHEW WERT,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
ATLANTIC W MEDICAL CARE PLLC,(718) 489-1130,,489 ATLANTIC AVE,,BROOKLYN,NY,112172985,Physical Medicine & Rehabilitation,208100000X,0,,1457968299,NPI-2,2020-09-25,2023-10-23,MATTHEW WERT,Owner,"Family Medicine, Sports Medicine; Podiatrist, Foot & Ankle Surgery; Physical Medicine & Rehabilitation",United States
"BAY RIDGE ORTHOPEDIC ASSOCIATES, PC",(914) 305-4633,914-305-5587,476 BAY RIDGE PKWY,,BROOKLYN,NY,112092702,Orthopaedic Surgery,207X00000X,1,"HOWARD BAUM, M.D.",1699882829,NPI-2,2006-08-24,2020-08-22,EHAB SANDUBY,Billing Manager,Orthopaedic Surgery,United States
BIMC FACULTY PRACTICE,(718) 943-0008,,1408 OCEAN AVE,,BROOKLYN,NY,112303814,Orthopaedic Surgery,207X00000X,0,,1619277340,NPI-2,2010-10-28,2010-10-28,DEBORAH HACKETT,VP,Orthopaedic Surgery,United States
"BORO MEDICAL, P.C.",(718) 855-4900,718-802-0631,540 ATLANTIC AVE,,BROOKLYN,NY,112171985,"Physician Assistant, Surgical",363AS0400X,0,,1093733065,NPI-2,2006-07-18,2025-09-11,ROBERT AQUINO,President,"Family Medicine; Internal Medicine; Internal Medicine, Cardiovascular Disease; Internal Medicine, Gastroenterology; Obstetrics & Gynecology, Gynecology; Ophthalmology; Orthopaedic Surgery; Otolaryngology; Surgery; Urology; Podiatrist; Physician Assistant, Medical; Physician Assistant, Surgical",United States
BROOKLYN ORTHOPEDIC AND SPORTS MEDICINE PLLC,(718) 246-8700,,263 7TH AVE,SUITE 2B,BROOKLYN,NY,112157247,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1629493705,NPI-2,2014-02-25,2014-02-25,CALOGERO GAMBINO,Manager/Orthopedic Surgeon,"Orthopaedic Surgery, Sports Medicine",United States
BROOKLYN ORTHOPEDICS P.C.,(718) 434-4145,718-434-4146,3621 GLENWOOD RD,,BROOKLYN,NY,112101944,Orthopaedic Surgery,207X00000X,0,,1891084034,NPI-2,2011-03-28,2011-03-28,JOSEPH PAUL,President,Orthopaedic Surgery,United States
CHARLES J PEARLMAN MD LLC,(718) 715-4114,718-734-2985,1009 BRIGHTON BEACH AVE STE 2,,BROOKLYN,NY,112355621,Orthopaedic Surgery,207X00000X,0,,1982979639,NPI-2,2012-03-14,2024-05-01,VICTORIA LUNGIN,ADMINISTRATIVE ASSISTANT,Specialist; Orthopaedic Surgery,United States
"CONTEMPORARY ORTHOPEDICS, PLLC",(718) 338-0909,,3500 NOSTRAND AVE,,BROOKLYN,NY,112295107,Orthopaedic Surgery,207X00000X,1,"PAUL ACKERMAN, MD",1982933164,NPI-2,2009-12-16,2021-09-27,JOSE MEDINA,Medical Surgical Billing,Orthopaedic Surgery,United States
"DANIEL W. WILEN, ORTHOPAEDIC SURGERY,M.D., P.C.",(718) 238-6518,718-836-1460,9202 FORT HAMILTON PKWY,,BROOKLYN,NY,112097407,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1528215068,NPI-2,2008-08-27,2008-09-05,DANIEL WILEN,Owner,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
"DAVID M. EDELSTEIN, MD, PC",(718) 646-8787,718-646-0098,2382 EAST 13 STREET,,BROOKLYN,NY,112294306,Orthopaedic Surgery,207X00000X,0,,1114162146,NPI-2,2008-12-04,2008-12-16,DAVID EDELSTEIN,Owner,Orthopaedic Surgery,United States
DOWNTOWN MEDICAL PLLC,(718) 521-2424,,145 HENRY ST SUITE 1G,,BROOKLYN,NY,112012526,Physical Medicine & Rehabilitation,208100000X,0,,1952978355,NPI-2,2021-06-06,2023-11-06,DANIEL KHAIMOV,President,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Radiology, Diagnostic Radiology; Physical Medicine & Rehabilitation",United States
"EINHORN & EINHORN, DPM,S",(718) 891-2706,718-648-9041,2616 AVENUE U,,BROOKLYN,NY,112295010,Podiatrist,213ES0131X,0,,1881873719,NPI-2,2007-10-28,2009-05-28,JAMES EINHORN,Partner,"Podiatrist; Podiatrist, Primary Podiatric Medicine; Podiatrist, Radiology; Podiatrist, Sports Medicine",United States
"INZLICHT, LEWIN, & WINIRASKY M.D., P.L.L.C.",(718) 232-2300,718-236-3449,5911 16TH AVE,,BROOKLYN,NY,112042114,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1366551459,NPI-2,2006-08-30,2025-09-11,ADRIANA BARONE,Office Manager,"Internal Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
J SPORTS MEDICINE PC,(609) 857-2653,866-420-3319,548 HOWARD AVE # 4,,BROOKLYN,NY,112335016,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1962291880,NPI-2,2025-05-06,2025-05-06,MILAGROS FIGUEREDO,BILLING MANAGER,"Physical Medicine & Rehabilitation, Sports Medicine",United States
JIMMY VAN DPM PC,(718) 844-1955,,833 58TH ST,,BROOKLYN,NY,112203609,"Orthopaedic Surgery, Foot and Ankle Surgery",207XX0004X,0,,1205280252,NPI-2,2016-04-15,2016-04-15,JIMMY VAN,Podiatrist,"Orthopaedic Surgery, Foot and Ankle Surgery",United States
LR MEDICAL PLLC,(718) 998-9890,718-998-9891,2277-83 CONEY ISLAND AVE,SUITE 2A,BROOKLYN,NY,112233337,"Pain Medicine, Interventional Pain Medicine",208VP0014X,0,,1760808802,NPI-2,2014-03-13,2025-06-11,LEONID REYFMAN,Director,"Physical Medicine & Rehabilitation, Pain Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Pain Medicine, Interventional Pain Medicine",United States
MANHATTAN MEDICAL BLDG.,(718) 389-8585,718-389-2378,934 MANHATTAN AVE,,BROOKLYN,NY,112225915,Otolaryngology,207Y00000X,0,,1902934425,NPI-2,2007-02-28,2025-09-11,ELIZABETH TAPPER,Administrator,"Allergy & Immunology, Allergy; Dermatology; Internal Medicine; Internal Medicine, Cardiovascular Disease; Internal Medicine, Endocrinology, Diabetes & Metabolism; Internal Medicine, Gastroenterology; Internal Medicine, Infectious Disease; Internal Medicine, Nephrology; Internal Medicine, Pulmonary Disease; Internal Medicine, Rheumatology; Obstetrics & Gynecology; Ophthalmology; Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Otolaryngology",United States
MASOOM REHAB MEDICAL OFFICE PC,(646) 287-9406,718-504-7966,79 CHURCH AVE,,BROOKLYN,NY,112182207,"Physical Medicine & Rehabilitation, Sports Medicine",2081S0010X,0,,1457410607,NPI-2,2006-12-06,2020-08-22,MOHAMMAD IQBAL,Owner,"Physical Medicine & Rehabilitation, Sports Medicine",United States
"MID MANHATTAN MEDICAL, P.C.",(718) 625-9911,718-625-9517,100 LIVINGSTON ST,SUITE 2,BROOKLYN,NY,112015127,"Emergency Medicine, Sports Medicine",207PS0010X,0,,1710370358,NPI-2,2015-03-06,2015-03-06,GIDEON HEDRYCH,Medical Director,"Psychologist, Clinical; Orthopaedic Surgery; Physical Medicine & Rehabilitation; Psychiatry & Neurology, Neurology; Radiology, Diagnostic Radiology; Pain Medicine, Interventional Pain Medicine; Emergency Medicine, Sports Medicine",United States
NEW YORK HAND SURGERY P.C.,(718) 369-4263,718-369-4265,330 9TH ST APT 1,,BROOKLYN,NY,112154026,Orthopaedic Surgery,207X00000X,0,,1639587504,NPI-2,2014-07-23,2015-01-08,VIPUL PATEL,Owner,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery",United States
NORTH ISLAND PODIATRY ASSOCIATES P.C.,(347) 442-5847,,596 PENNSYLVANIA AVE,,BROOKLYN,NY,112076308,"Orthopaedic Surgery, Foot and Ankle Surgery",207XX0004X,0,,1245888981,NPI-2,2019-08-27,2019-08-27,AMANDA LETTMAN,OFFICE MANAGER,"Orthopaedic Surgery, Foot and Ankle Surgery",United States
OASIS MEDICAL SERVICES PLLC,(844) 366-8800,,225 PARKSIDE AVE STE 1CAND1D,,BROOKLYN,NY,112261361,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1164013744,NPI-2,2021-01-27,2021-01-27,ANNA SIMEONE,VPOP,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
ORTHOPEDIC FACULTY PRACTICE,(718) 283-7400,718-283-6199,6010 BAY PKWY,7TH FLOOR,BROOKLYN,NY,112046079,"Orthopaedic Surgery, Orthopaedic Trauma",207XX0801X,2,"AMR ABDELGAWAD, M.D.; AMR ABDELGAWAD, M.D.",1932654282,NPI-2,2016-08-16,2016-08-16,JACK CHOUEKA,Chairman MD,"Orthopaedic Surgery, Orthopaedic Trauma",United States
RONALD C. HUANG M.D. LLC,(212) 858-9828,212-858-9728,5318 7TH AVE,,BROOKLYN,NY,112203121,Orthopaedic Surgery,207X00000X,0,,1851901474,NPI-2,2020-08-07,2022-08-19,RONALD HUANG,Owner,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery",United States
"UNIVERSITY PHYSICIANS OF BROOKLYN, INC.",(718) 270-2045,718-270-3763,450 CLARKSON AVE,ALL1-452,BROOKLYN,NY,112032056,Orthopaedic Surgery,207X00000X,0,,1386691822,NPI-2,2006-05-30,2024-05-28,ALBERT GUIDICE,Enrollment Manager,"Orthopaedic Surgery; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Sports Medicine; Physical Medicine & Rehabilitation",United States
A MARC TETRO MD,(716) 854-5700,716-854-5800,700 MICHIGAN AVE,,BUFFALO,NY,142031536,"Orthopaedic Surgery, Hand Surgery",207XS0106X,0,,1245936129,NPI-2,2023-02-02,2023-02-02,ANDREW TETRO,Owner,"Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery",United States
CAMERON B HUCKELL MD,(716) 854-5700,716-854-5800,700 MICHIGAN AVE,,BUFFALO,NY,142031536,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1952007833,NPI-2,2023-02-02,2023-02-02,CAMERON HUCKELL,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
EDWARD D. SIMMONS MD PC,(716) 882-0035,716-882-3032,235 NORTH ST,,BUFFALO,NY,142011435,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1336438803,NPI-2,2011-04-05,2012-03-22,EDWARD SIMMONS,Owner,"Physician Assistant, Surgical; Physician Assistant, Surgical; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"HAND & UPPER EXTREMITY SURGERY, PC",(716) 887-4040,,3 GATES CIR,,BUFFALO,NY,142091120,"Orthopaedic Surgery, Hand Surgery",207XS0106X,0,,1396823399,NPI-2,2006-11-01,2008-11-17,CATHERINE JETTE,administrator,"Physical Medicine & Rehabilitation; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery",United States
JOINT REPLACEMENT CIN OF BUFFALO LLC,(615) 386-0064,615-386-0067,565 ABBOTT RD,,BUFFALO,NY,142202039,Orthopaedic Surgery,207X00000X,0,,1598273476,NPI-2,2018-01-13,2018-03-08,EDWARD LELAND EADIE,Director/Authorized Official,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery",United States
MATTHEW RUBACHA,(716) 854-5700,716-854-5800,700 MICHIGAN AVE,,BUFFALO,NY,142031536,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1487511614,NPI-2,2026-01-08,2026-01-08,MATTHEW RUBACHA,Owner,"Orthopaedic Surgery, Sports Medicine",United States
ZAIR FISHKIN MD,(716) 854-5700,716-854-5800,700 MICHIGAN AVE,,BUFFALO,NY,142031536,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1982300844,NPI-2,2023-02-02,2023-02-02,ZAIR FISHKIN,Owner,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
"CANANDAIGUA ORTHOPAEDIC ASSOCIATES, PC",(585) 394-1960,585-393-9232,229 PARRISH ST,SUITE 100,CANANDAIGUA,NY,144241791,Orthopaedic Surgery,207X00000X,0,,1508885583,NPI-2,2006-07-19,2010-06-28,GILLIAN FLYNN,office manager,Orthopaedic Surgery,United States
"NUVANCE HEALTH MEDICAL PRACTICE, PC",(845) 228-2910,845-228-2914,150 ROUTE 52,,CARMEL,NY,105121200,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1043804636,NPI-2,2021-02-24,2021-04-09,KAREN DARCY,VP Finance,"Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
SOMERS ORTHOPAEDIC SURGERY & SPORTS MEDICINE GROUP PLLC,(845) 278-8400,845-278-4326,664 STONELEIGH AVE STE 300,,CARMEL,NY,105123990,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1720028384,NPI-2,2006-06-08,2013-06-26,JOEL BUCHALTER,President,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
"CARTHAGE AREA HOSPITAL, INC",(315) 493-4874,315-493-4875,3 BRIDGE ST,,CARTHAGE,NY,136191353,Orthopaedic Surgery,207X00000X,0,,1699003087,NPI-2,2009-11-24,2020-11-24,RICHARD DUVALL,CEO Administrator,Orthopaedic Surgery,United States
SURGICALIST OF NEW YORK PC,(315) 493-1000,,1001 WEST ST,,CARTHAGE,NY,136199703,Surgery,208600000X,0,,1134643083,NPI-2,2017-08-02,2017-08-02,JOHN CAMPBELL,CEO/Owner,Orthopaedic Surgery; Surgery,United States
DONALD J CALLY M.D. P.C.,(518) 469-8652,845-227-4934,2 GARDINER ST,,CATSKILL,NY,124141004,Orthopaedic Surgery,207X00000X,0,,1851558407,NPI-2,2008-05-21,2008-05-21,DONALD CALLY,president,Orthopaedic Surgery,United States
MICHELLE ZHUBRAK DPM PLLC,(518) 943-6800,518-943-6866,35 FIVE MILE WOODS ROAD,,CATSKILL,NY,12414,Podiatrist,213ES0131X,0,,1811643018,NPI-2,2022-02-25,2022-02-25,MICHELLE ZHUBRAK,Owner/doctor,"Podiatrist; Podiatrist, Primary Podiatric Medicine; Podiatrist, Radiology; Podiatrist, Sports Medicine; Podiatrist, Foot & Ankle Surgery",United States
